Course,Book,Chapter,Author,Summary
Cognitive Neuroscience,Neuroscience: Exploring the Brain,The auditory and vestibular systems,Bear M.,"Hearing and balance begin with nearly identical sensory receptors, the hair cells, which are exquisitely sensitive to deflections of their stereocilia. These movement detectors are surrounded by three sets of inner ear structures that give them selectivity for three different kinds of mechanical energy: periodic waves of air pressure (sound), rotational forces (head turns), and linear forces (head tilt or acceleration). Except for the similarity in transduction, and the fact that the hair cells of both systems are located in the inner ear, the auditory and vestibular systems are quite different. The sound sensed by audition comes mainly from the external environment, while the vestibular system senses only the movements of itself. Auditory and vestibular pathways are entirely separate except perhaps at the highest levels of the cortex. Auditory information is often at the forefront of our consciousness, while vestibular sensation usually operates unnoticed to coordinate and calibrate our every movement. We have followed the auditory pathways from the ear to cerebral cortex and seen the ways in which information about sound is transformed. Variations in the density of air are converted to movements of the mechanical components of the middle and inner ear, which are transduced into neural responses. The structures of the ear and cochlea are highly specialized for the transduction of sound. However, this fact should not blind us to the considerable similarities between the organization of the auditory system and that of other sensory systems. Many analogies can be made between the auditory and visual systems. In the sensory receptors of both systems, a spatial code is established. In the visual system, the code in the photoreceptors is retinotopic; the activity of a given photoreceptor indicates light at a particular location. The receptors in the auditory system establish a spatial code that is tonotopic because of the unique properties of the cochlea. In each system, the retinotopy or tonotopy is preserved as signals are processed in secondary neurons, the thalamus, and finally in sensory cortex. The convergence of inputs from lower levels produces neurons at higher levels that have more complex response properties. Combinations of LGN inputs give rise to simple and complex receptive fields in visual cortex; similarly in the auditory system, the integration of inputs tuned to different sound frequencies yields higher level neurons that respond to complex combinations of frequencies. Another example of increasing visual complexity is the convergence of inputs from the two eyes, which yields binocular neurons that are important for depth perception. Analogously, in the auditory system, input from the two ears is combined to create binaural neurons, which are used for horizontal sound localization. These are just a few of the many similarities in the two systems. Principles governing one system can often help us understand other systems. Keep this in mind while reading about the somatic sensory system in the next chapter, and you’ll be able to predict some features of cortical organization based on the types of sensory receptors."
Cognitive Neuroscience,Neuroscience: Exploring the Brain,Spinal control of movement,Bear M.,"We can draw several conclusions from the preceding discussion of the spinal control of movement. First, a great deal has been learned about movement and its spinal control by working at different levels of analysis, ranging from biochemistry and genetics to biophysics and behavior. Indeed, a complete understanding, whether of excitation–contraction coupling or central pattern generation, requires knowledge derived from every approach. Second, sensation and movement are inextricably linked even at the lowest levels of the neural motor system. The normal function of the alpha motor neuron depends on direct feedback from the muscles themselves and indirect information from the tendons, joints, and skin. Third, the spinal cord contains an intricate network of circuits for the control of movement; it is far more than just a conduit for somatic sensory and motor information. Evidently, coordinated and complex patterns of activity in these spinal circuits can be driven by relatively crude descending signals. This leaves the question of precisely what the upper motor neurons contribute to motor control—the subject of the next chapter."
Cognitive Neuroscience,Neuroscience: Exploring the Brain,Brain control of movement,Bear M.,"Let’s return to the example of the baseball pitcher one last time to put the different pieces of the motor control puzzle together. Imagine the pitcher walking to the mound. The spinal circuits of the crossed extensor reflex are engaged and coordinated by descending commands on the ventromedial pathways. Extensors contract, flexors relax; flexors contract, extensors relax. Once on the mound, the pitcher is joined by the umpire. Into his outstretched hand the umpire drops a new baseball. The added weight stretches the flexors of the arm. Group Ia axons become more active and cause monosynaptic excitation of the motor neurons innervating the flexors. The muscles contract to hold the ball up against gravity. He is now ready to pitch. His neocortex is fully engaged and active as he looks at the catcher for the hand signal that tells him the type of pitch to throw. At the same time, the ventromedial pathways are working to maintain his standing posture. Although his body is still, the neurons of the ventral horns of the spinal cord are firing steadily under the influence of the ventromedial pathways, keeping the extensors of the lower leg activated. The catcher flashes the sign for the curve ball. The sensory information is communicated from the occipital cortex to the parietal and prefrontal cortex. These regions of cortex along with area 6 begin planning the movement strategy. The batter steps up to the plate and is ready. Activity cycling through the basal ganglia increases, triggering the initiation of the pitch. In response to this input to the cerebral cortex, SMA activity increases, followed immediately by the activation of M1. Now instructions are sweeping down the axons of the lateral pathways. The cerebellum, activated by the corticopontocerebellar inputs, uses these instructions to coordinate the timing and force of the descending activity so the proper sequence of muscle contractions can occur. Cortical input to the reticular formation leads to the release of the antigravity muscles from reflex control. Finally, lateral pathway signals engage the motor neurons and interneurons of the spinal cord, which cause muscles of the arms and legs to contract. The pitcher winds up and throws. The batter swings. The ball sails over the left-field fence. The crowd jeers; the manager curses; the team owner frowns. Even as the pitcher’s cerebellum goes to work making adjustments for the next pitch, his body reacts. His face flushes; he sweats; he’s angry and anxious. But these latter reactions are not the stuff of the somatic motor system. These are topics of Part III, The Brain and Behavior."
Cognitive Neuroscience,Neuroscience: Exploring the Brain,Brain mechanisms of emotion,Bear M.,"We all know what emotions are—those feelings we have that we call happiness, sadness, and so on. But what exactly are those feelings? As evidenced by the diverse theories we have outlined, there is a great deal of uncertainty. More than a hundred years after the James–Lange theory was proposed, there remains controversy about the extent to which emotions cause changes in the body or bodily changes cause emotions. We do know from brain imaging studies that emotions are associated with widespread brain activation. Some of the structures involved are part of the limbic system, and other structures are not. But even with images of brain activity in various emotional states, understanding the neural basis of emotional experience is challenging. We don’t know which of the active areas are responsible for the feelings. Is it the most active area, all of the areas, or something else? What should we make of the observation that some brain structures are activated in multiple emotional states while others are more specific to particular emotions? For that matter, is it even correct to think of brain activity as reflecting feelings, or might feelings be emergent sensations based on combinations of active neurons, none of which independently signals an emotion? In this chapter, we have focused on a handful of brain structures for which there is particularly strong evidence for involvement in emotion. A way to look at our current state of understanding is that the combined lesion, stimulation, and brain imaging studies have done a good job identifying structures that are candidates for emotional processing. It will take a good deal more work to figure out what various cortical and subcortical areas contribute. Emotional experiences are the result of complex interactions among sensory stimuli, brain circuitry, past experiences, and the activity of neurotransmitter systems. In light of this complexity, we probably should not be surprised that humans exhibit a broad spectrum of emotional and mood disorders, as we will see in Chapter 22. When thinking about the neural basis of emotion, keep in mind that the structures apparently involved in emotion also have other functions. For a considerable time after Broca defined the limbic lobe, it was thought to be primarily an olfactory system. And even though our perspective has changed much since Broca’s time, parts of the brain involved in olfaction have been included in the definition of the limbic system. We will see in Chapter 24 that some of the limbic structures are also important for learning and memory. Emotions are nebulous experiences that influence our brains and behavior in many ways, so it seems logical that emotional processing should be intertwined with other brain functions."
Cognitive Neuroscience,Neuroscience: Exploring the Brain,Language,Bear M.,"Language was one of the most important steps in human evolution. Communication between people is such a fundamental aspect of being human that it is difficult to imagine life without language. Current estimates are that the human capacity for language evolved relatively recently, around 100,000 years ago. While animals use a great diversity of sounds and behaviors to communicate, none of these come close to the elaborate and flexible system of language and speech used by humans. Aspects of language acquisition and use have been fruitfully studied in songbirds and nonhuman primates, but unlike other brain systems, the study of human language requires experiments and observations in humans. For this reason, experimental approaches are largely limited to behavioral studies of language acquisition and function, the consequences of lesions, effects of brain stimulation, and brain imaging with fMRI and PET. Even with these few techniques, however, a great deal has been learned. Consistent with the locations of sensory and motor areas in the brain, the basics of language organization can be understood. Early studies focused attention on Broca’s area, which is near the motor cortex and associated with speech production, and Wernicke’s area, which is near the auditory cortex and associated with speech comprehension. These observations are still of clinical use today. More recent research has shown that language processing is far more complex and engages far more of the brain than implied by the Wernicke–Geschwind model. Brain imaging and stimulation studies have revealed widespread brain areas in both hemispheres that are involved in language and that vary from one person to the next. From our perspective today, the complexity of language and its extensive representation in the brain are not so surprising because language involves many different components, such as understanding the basis of words in sound, the meanings of words, the grammar used to combine words into meaningful statements, naming objects, producing speech, and on and on. As in research on other brain systems for sensation, motor output, emotion, and so on, we are interested in the extent to which language processing involves a collection of interacting subsystems for different language skills. There is clearly still much to be learned. Further brain imaging studies will hopefully clarify the organization of language systems in the brain at a finer scale than was possible from studying the consequences of brain lesions and perhaps identify distinct circuits that serve different functions."
Cognitive Neuroscience,Neuroscience: Exploring the Brain,Memory Systems,Bear M.,"Far from being a computer with fixed connections, the human brain is constantly changing as a result of experience. We use working memory to temporarily hold onto information, and the patterns of sensory input from some of our experiences are assembled into permanent engrams. As a child you learned to do a somersault, and the sequence of movements was unconsciously stored for use time after dizzying time. You learned the structure of the brain and are able to impress Aunt Tilly by making a sketch showing the location of the medulla oblongata. We cannot identify the precise neurons and synapses involved in storing nondeclarative or declarative memories, but research is moving us closer to such an understanding. We know that learning and memory involve changes widely across the brain. Structures in the medial temporal lobe and diencephalon are critical for memory consolidation, and engrams are stored in the neocortex through interactions with the hippocampus and other structures. Specifying precisely what each brain structure contributes to learning and memory continues to challenge researchers. We have seen that memories can be classified based on duration, the kind of information stored, and the brain structures involved. Early brain research relied on interpreting the effects of brain lesions on amnesia. From the case of H.M. alone, a tremendous amount was learned about memory in the human brain. The distinct types of memory, and the fact that one type can be disrupted without affecting others in amnesia, indicate that multiple brain systems are used for memory storage. More recent research uses human brain imaging and molecular genetic techniques to examine memory formation and sort out the temporal processes and multiple systems. There is even hope that one day there will be a treatment to significantly reduce the deleterious consequences of traumatic memories. In this chapter we have focused on questions about where memories are stored and how different brain structures interact. But what is the physiological basis for the memory storage? When we try to remember a phone number, an interruption can make us forget, suggesting that memories are initially held in a particularly fragile form. Long-term memory is much more robust; it can survive interruption, anesthesia, and the normal bumps and traumas of life. Because of this robustness, it is thought that memories are ultimately stored in structural brain changes. The nature of these structural changes in the brain is the subject of Chapter 25."
Cognitive Neuroscience,Neuroscience: Exploring the Brain,Molecular mechanisms of learning and memory,Bear M.,"Learning and memory can occur at synapses. Regardless of the species, brain location, and memory type, many of the underlying mechanisms appear to be universal. Events are represented first as changes in the electrical activity of the brain, then as intracellular second messengers, and next as modifications of existing synaptic proteins. These temporary changes are converted to permanent ones, and long-term memories, by altering the structure of the synapse. In many forms of memory, this involves new protein synthesis and the assembly of new microcircuits. In other forms of memory, existing circuits may be disassembled. In either case, learning requires many of the same mechanisms that were used to refine brain circuitry during development. One universal feature is the involvement of Ca²⁺. Clearly, calcium does far more than build strong bones and teeth. Not only is it critical for neurotransmitter secretion and muscle contraction, but it is also involved in nearly every form of synaptic plasticity. Because it is a charge-carrying ion on the one hand and a potent second messenger substance on the other, Ca²⁺ has a unique ability to directly couple electrical activity with long-term changes in the brain. Can basic neuroscience research take us from ions to intelligence? From calcium to cognition? If you remember what you have learned in this textbook, and if synaptic plasticity truly is the basis of declarative memory, it would appear that the answer is yes."
Methods,Statistical Rethinking,The golem of prague,McElreath R.,"This first chapter has argued for a rethinking of popular statistical and scientific philosophy. Instead of choosing among various black-box tools for testing null hypotheses, we should learn to build and analyze multiple non-null models of natural phenomena. To support this goal, the chapter introduced Bayesian inference, model comparison, multilevel models, and graphical causal models. The remainder of the book is organized into four interdependent parts. Foundational Concepts (Chapters 2 and 3): These chapters introduce Bayesian inference and the basic tools for performing Bayesian calculations. They move quite slowly and emphasize a purely logical interpretation of probability theory. Bayesian Multiple Linear Regression (Chapters 4 through 9): This section builds multiple linear regression as a Bayesian tool, supporting causal inference by analyzing separate causal models to determine which variables to include. These chapters emphasize plotting results instead of attempting to interpret estimates of individual parameters. Problems of model complexity—overfitting—also feature prominently, introducing information theory and formal model comparison in Chapter 7. Generalized Linear Models (Chapters 9 through 12): This part presents generalized linear models of several types. Chapter 9 introduces Markov chain Monte Carlo (MCMC) methods used to fit the models in later chapters. Chapter 10 introduces maximum entropy as an explicit procedure to help design and interpret these models. Chapters 11 and 12 detail the models themselves. Advanced Models and Applications (Chapters 13 through 16): This section covers multilevel models, as well as specialized models addressing measurement error, missing data, and spatial correlation. This material is fairly advanced but proceeds in the same mechanistic way as earlier material. Chapter 16 departs from the rest of the book by deploying theoretical models expressed directly as statistical models, rather than generalized linear types. The final chapter, Chapter 17, returns to some of the issues raised in this first one. At the end of each chapter, there are practice problems ranging from easy to hard. These problems help you test your comprehension, with harder ones expanding on the material and introducing new examples and obstacles."
Methods,Statistical Rethinking,Small worlds and large worlds,McElreath R.,"This chapter introduced the conceptual mechanics of Bayesian data analysis. The target of inference in Bayesian inference is a posterior probability distribution. Posterior probabilities state the relative numbers of ways each conjectured cause of the data could have produced the data. These relative numbers indicate plausibilities of the different conjectures. These plausibilities are updated in light of observations, a process known as Bayesian updating. More mechanically, a Bayesian model is a composite of variables and distributional definitions for these variables. The probability of the data, often called the likelihood, provides the plausibility of an observation (data), given a fixed value for the parameters. The prior provides the plausibility of each possible value of the parameters, before accounting for the data. The rules of probability tell us that the logical way to compute the plausibilities, after accounting for the data, is to use Bayes’ theorem. This results in the posterior distribution. In practice, Bayesian models are fit to data using numerical techniques, like grid approximation, quadratic approximation, and Markov chain Monte Carlo (MCMC). Each method imposes different trade-offs."
Methods,Statistical Rethinking,Sampling the imaginary,McElreath R.,"This chapter introduced the basic procedures for manipulating posterior distributions. Our fundamental tool is samples of parameter values drawn from the posterior distribution. Working with samples transforms a problem of integral calculus into a problem of data summary. These samples can be used to produce intervals, point estimates, posterior predictive checks, as well as other kinds of simulations. Posterior predictive checks combine uncertainty about parameters, as described by the posterior distribution, with uncertainty about outcomes, as described by the assumed likelihood function. These checks are useful for verifying that your software worked correctly. They are also useful for prospecting for ways in which your models are inadequate. Once models become more complex, posterior predictive simulations will be used for a broader range of applications. Even understanding a model often requires simulating implied observations. We’ll keep working with samples from the posterior to make these tasks as easy and customizable as possible."
Methods,Statistical Rethinking,Geocentric models,McElreath R.,"This chapter introduced the simple linear regression model, a framework for estimating the association between a predictor variable and an outcome variable. The Gaussian distribution comprises the likelihood in such models, because it counts up the relative numbers of ways different combinations of means and standard deviations can produce an observation. To fit these models to data, the chapter introduced quadratic approximation of the posterior distribution and the tool quap. It also introduced new procedures for visualizing posterior distributions and posterior predictions. The next chapter expands on these concepts by introducing regression models with more than one predictor variable. The basic techniques from this chapter are the foundation of most of the examples in later chapters. So if much of the material was new to you, it might be worth reviewing the chapter now, before pressing onwards."
Methods,Statistical Rethinking,The many variables & the spurious waffles,McElreath R.,"This chapter introduced multiple regression, a way of constructing descriptive models for how the mean of a measurement is associated with more than one predictor variable. The defining question of multiple regression is: What is the value of knowing each predictor, once we already know the other predictors? Implicit in this question are: (1) a focus on the value of the predictors for description of the sample, instead of forecasting a future sample; and (2) the assumption that the value of each predictor does not depend upon the values of the other predictors. In later chapters, we confront these two issues. But before that, in the next chapter, we’ll see how adding predictor variables can create as many problems as it can solve."
Methods,Statistical Rethinking,The haunted DAG & the causal terror,McElreath R.,"Multiple regression is no oracle. It is logical, but the relationships it describes are conditional associations, not causal influences. Therefore, additional information from outside the model is needed to make sense of it. This chapter presented introductory examples of some common frustrations: multicollinearity, post-treatment bias, and collider bias. Solutions to these frustrations can be organized under a coherent framework in which hypothetical causal relations among variables are analyzed to locate and cope with confounding. In all cases, causal models exist outside the statistical model and can be difficult to test. However, it is possible to reach valid causal inferences in the absence of experiments. This is good news because we often cannot perform experiments, both for practical and ethical reasons."
Methods,Statistical Rethinking,Ulysses' Compass,McElreath R.,"This chapter has been a marathon. It began with the problem of overfitting, a universal phenomenon by which models with more parameters fit a sample better, even when the additional parameters are meaningless. Two common tools were introduced to address overfitting: regularizing priors and estimates of out-of-sample accuracy (WAIC and PSIS). Regularizing priors reduce overfitting during estimation, and WAIC and PSIS help estimate the degree of overfitting. Practical functions in the rethinking package were introduced to help analyze collections of models fit to the same data. If you are after causal estimates, then these tools will mislead you. So models must be designed through some other method, not selected on the basis of out-of-sample predictive accuracy. But any causal estimate will still overfit the sample. So you always have to worry about overfitting, measuring it with WAIC/PSIS and reducing it with regularization."
Methods,Statistical Rethinking,Conditional Manatees,McElreath R.,"This chapter introduced interactions, which allow for the association between a predictor and an outcome to depend upon the value of another predictor. While you can’t see them in a Directed Acyclic Graph (DAG), interactions can be important for making accurate inferences. Interactions can be difficult to interpret, so the chapter also introduced triptych plots that help in visualizing the effect of an interaction. No new coding skills were introduced, but the statistical models considered were among the most complicated so far in the book. To go any further, we’re going to need a more capable conditioning engine to fit our models to data. That’s the topic of the next chapter."
Methods,Statistical Rethinking,Markov Chain,McElreath R.,"This chapter has been an informal introduction to Markov chain Monte Carlo (MCMC) estimation. The goal has been to introduce the purpose and approach of MCMC algorithms. The major algorithms introduced were the Metropolis, Gibbs sampling, and Hamiltonian Monte Carlo algorithms. Each has its advantages and disadvantages. The ulam function in the rethinking package was introduced. It uses the Stan (mc-stan.org) Hamiltonian Monte Carlo engine to fit models as they are defined in this book. General advice about diagnosing poor MCMC fits was introduced by the use of a couple of pathological examples. In the next chapters, we use this new power to learn new kinds of models."
Methods,Statistical Rethinking,Big entropy and the generalized linear model,McElreath R.,"This chapter has been a conceptual, not practical, introduction to maximum entropy and generalized linear models. The principle of maximum entropy provides an empirically successful way to choose likelihood functions. Information entropy is essentially a measure of the number of ways a distribution can arise, according to stated assumptions. By choosing the distribution with the biggest information entropy, we thereby choose a distribution that obeys the constraints on outcome variables, without importing additional assumptions. Generalized linear models arise naturally from this approach, as extensions of the linear models in previous chapters. The necessity of choosing a link function to bind the linear model to the generalized outcome introduces new complexities in model specification, estimation, and interpretation. You’ll become comfortable with these complexities through examples in later chapters."
Methods,Statistical Rethinking,God spiked the integers,McElreath R.,"This chapter described some of the most common generalized linear models, particularly those used to model counts. It is important to never convert counts to proportions before analysis, because doing so destroys information about sample size. A fundamental difficulty with these models is that parameters are on a different scale, typically log-odds (for binomial) or log-rate (for Poisson), than the outcome variable they describe. Therefore, computing implied predictions is even more important than before."
Methods,Statistical Rethinking,Monsters and mixtures,McElreath R.,"This chapter introduced several new types of regression, all of which are generalizations of generalized linear models (GLMs). Ordered logistic models are useful for categorical outcomes with a strict ordering. They are built by attaching a cumulative link function to a categorical outcome distribution. Zero-inflated models mix together two different outcome distributions, allowing us to model outcomes with an excess of zeros. Models for overdispersion, such as beta-binomial and gamma-Poisson, draw the expected value of each observation from a distribution that changes shape as a function of a linear model. The next chapter further generalizes these model types by introducing multilevel models."
Methods,Statistical Rethinking,Models with memory,McElreath R.,"This chapter has been an introduction to the motivation, implementation, and interpretation of basic multilevel models. It focused on varying intercepts, which achieve better estimates of baseline differences among clusters in the data. They achieve better estimates because they simultaneously model the population of clusters and use inferences about the population to pool information among parameters. From another perspective, varying intercepts are adaptively regularized parameters, relying upon a prior that is itself learned from the data. All of this is a foundation for the next chapter, which extends these concepts to additional types of parameters and models."
