eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,abstract,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor,Course,Book
2-s2.0-73649133526,10.1016/j.socnet.2009.02.004,S0378873309000069,,Introduction to stochastic actor-based models for network dynamics,ar,Article,Snijders T.A.B.,60026851;60010023;60008734,University of Oxford;Rijksuniversiteit Groningen;Vrije Universiteit Amsterdam,Oxford;Groningen;Amsterdam,United Kingdom;Netherlands;Netherlands,3,"Snijders, Tom A.B.;van de Bunt, Gerhard G.;Steglich, Christian E.G.",16033795100;6506686213;24367743300,60026851;60008734;60010023,2010-01-01,January 2010,Social Networks,03788733,25987,,Journal,32,1,,44-60,"Stochastic actor-based models are models for network dynamics that can represent a wide variety of influences on network change, and allow to estimate parameters expressing such influences, and test corresponding hypotheses. The nodes in the network represent social actors, and the collection of ties represents a social relation. The assumptions posit that the network evolves as a stochastic process 'driven by the actors', i.e., the model lends itself especially for representing theories about how actors change their outgoing ties. The probabilities of tie changes are in part endogenously determined, i.e., as a function of the current network structure itself, and in part exogenously, as a function of characteristics of the nodes ('actor covariates') and of characteristics of pairs of nodes ('dyadic covariates'). In an extended form, stochastic actor-based models can be used to analyze longitudinal data on social networks jointly with changing attributes of the actors: dynamics of networks and behavior. This paper gives an introduction to stochastic actor-based models for dynamics of directed networks, using only a minimum of mathematics. The focus is on understanding the basic principles of the model, understanding the results, and on sensible rules for model selection. Crown Copyright © 2009.",Agent-based model | Longitudinal | Markov chain | Peer influence | Peer selection | Statistical modeling,1428.0,0.0,,,,undefined,,Social and Cultural dynamics,
2-s2.0-85137662394,10.1016/j.cub.2022.08.008,S0960982222012854,36099892,Is bin-opening in cockatoos leading to an innovation arms race with humans?,ar,Article,Klump B.C.,60159889;60159422;60120615;60025525;60017681;60012614,ANU Research School of Biology;Taronga Conservation Society Australia;Max Planck Institute of Animal Behavior;Universität Konstanz;Australian Museum;Universität Zürich,Canberra;Mosman;Radolfzell;Konstanz;Sydney;Zurich,Australia;Australia;Germany;Germany;Australia;Switzerland,5,"Klump, Barbara C.;Major, Richard E.;Farine, Damien R.;Martin, John M.;Aplin, Lucy M.",56658586000;7004446640;55349664100;55727533000;42961055800,60120615;60017681;60120615-60012614-60159889;60159422;60120615-60159889-60025525,2022-09-12,12 September 2022,Current Biology,09609822,15537,18790445,Journal,32,17,,R910-R911,"Foraging innovations can give wild animals access to human-derived food sources1. If these innovations spread, they can enable adaptive flexibility2 but also lead to human-wildlife conflicts3. Examples include crop-raiding elephants4 and long-tailed macaques that steal items from people to trade them back for food5. Behavioural responses by humans might act as a further driver on animal innovation2,6, even potentially leading to an inter-species ‘innovation arms-race’7, yet this is almost entirely unexplored. Here, we report a potential case in wild, urban-living, sulphur-crested cockatoos (Cacatua galerita; henceforth cockatoos), where the socially-learnt behaviour of opening and raiding of household bins by cockatoos8 is met with increasingly effective and socially-learnt bin-protection measures by human residents.",,8.0,1.0,publisherhybridgold,Hybrid Gold,,undefined,,Social and Cultural dynamics,
2-s2.0-85105202185,10.1038/s41562-021-01106-8,,33927367,Landscape rules predict optimal superhighways for the first peopling of Sahul,ar,Article,Crabtree S.A.,60123796;60031706;60030961;60028333;60020828;60019870;60015574;60007843;124755930,"Université Paris Cité;Utah State University;Santa Fe Institute;UNSW Sydney;Flinders University;James Cook University;The University of Tennessee, Knoxville;Sandia National Laboratories, New Mexico;EMM Consulting Pty Ltd",Paris;Logan;Santa Fe;Sydney;Adelaide;Townsville;Knoxville;Albuquerque;Sydney,France;United States;United States;Australia;Australia;Australia;United States;United States;Australia,8,"Crabtree, Stefani A.;White, Devin A.;Bradshaw, Corey J.A.;Saltré, Frédérik;Williams, Alan N.;Beaman, Robin J.;Bird, Michael I.;Ulm, Sean",54931483000;23065442000;7102130752;35176404300;24336566800;6603610330;7102578362;17344329100,60031706-60030961-60019870-60123796;60007843-60015574;60020828;60020828;60028333-124755930;60019870;60019870;60019870,2021-10-01,October 2021,Nature Human Behaviour,,21100838541,23973374,Journal,5,10,,1303-1313,"Archaeological data and demographic modelling suggest that the peopling of Sahul required substantial populations, occurred rapidly within a few thousand years and encompassed environments ranging from hyper-arid deserts to temperate uplands and tropical rainforests. How this migration occurred and how humans responded to the physical environments they encountered have, however, remained largely speculative. By constructing a high-resolution digital elevation model for Sahul and coupling it with fine-scale viewshed analysis of landscape prominence, least-cost pedestrian travel modelling and high-performance computing, we create over 125 billion potential migratory pathways, whereby the most parsimonious routes traversed emerge. Our analysis revealed several major pathways—superhighways—transecting the continent, that we evaluated using archaeological data. These results suggest that the earliest Australian ancestors adopted a set of fundamental rules shaped by physiological capacity, attraction to visually prominent landscape features and freshwater distribution to maximize survival, even without previous experience of the landscapes they encountered.",,27.0,0.0,repositoryam,Green,USDOE,DE-NA0003525,U.S. Department of Energy,Social and Cultural dynamics,
2-s2.0-85001976709,10.1007/s00127-016-1319-z,,27921134,Mental disorders as networks of problems: a review of recent insights,re,Review,Fried E.I.,60006027;60002483,Universitair Medisch Centrum Groningen;Universiteit van Amsterdam,Groningen;Amsterdam,Netherlands;Netherlands,6,"Fried, Eiko I.;van Borkulo, Claudia D.;Cramer, Angélique O.J.;Boschloo, Lynn;Schoevers, Robert A.;Borsboom, Denny",55939435800;56309945700;36169031400;36069131200;6601994241;6602919311,60002483;60002483-60006027;60002483;60006027;60006027;60002483,2017-01-01,1 January 2017,Social Psychiatry and Psychiatric Epidemiology,09337954,19841,,Journal,52,1,,,"Purpose: The network perspective on psychopathology understands mental disorders as complex networks of interacting symptoms. Despite its recent debut, with conceptual foundations in 2008 and empirical foundations in 2010, the framework has received considerable attention and recognition in the last years. Methods: This paper provides a review of all empirical network studies published between 2010 and 2016 and discusses them according to three main themes: comorbidity, prediction, and clinical intervention. Results: Pertaining to comorbidity, the network approach provides a powerful new framework to explain why certain disorders may co-occur more often than others. For prediction, studies have consistently found that symptom networks of people with mental disorders show different characteristics than that of healthy individuals, and preliminary evidence suggests that networks of healthy people show early warning signals before shifting into disordered states. For intervention, centrality—a metric that measures how connected and clinically relevant a symptom is in a network—is the most commonly studied topic, and numerous studies have suggested that targeting the most central symptoms may offer novel therapeutic strategies. Conclusions: We sketch future directions for the network approach pertaining to both clinical and methodological research, and conclude that network analysis has yielded important insights and may provide an important inroad towards personalized medicine by investigating the network structures of individual patients.",Comorbidity | Early warning signals | Mental disorders | Network analysis | Treatment,550.0,1.0,publisherhybridgold,Hybrid Gold,H2020,647209,Horizon 2020 Framework Programme,Social and Cultural dynamics,
2-s2.0-85154570356,10.1016/j.cresp.2023.100112,S2666622723000254,,"National inequality, social capital, and public goods decision-making",ar,Article,Skewes J.C.,60029616,Aarhus Universitet,Aarhus,Denmark,2,"Skewes, Joshua C.;Nockur, Laila",17435597700;57202706538,60029616;60029616,2023-01-01,January 2023,Current Research in Ecological and Social Psychology,,21101136809,26666227,Journal,4,,100112,,"Inequality affects how people make social decisions. Laboratory research has shown that when income inequality is simulated using cooperative economic games, groups with higher inequality often generate less wealth overall, with poorer group members receiving the worst outcomes. This study links these experimental findings to real world inequality and applies a decision model to explain the effects in terms of social decision-making dynamics. Using a pre-existing dataset from 255 groups playing a public goods game in thirteen economically diverse societies, we show that in nations with higher inequality, groups contribute less (Research question (RQ) 1). Further, we find that higher inequality is associated with lower optimism regarding others’ contributions at the outset of the game and increased sensitivity to others’ contributions, which accelerates the decay of cooperation (RQ2). These effects might be explained by national differences in social capital as expressed by trust and adherence to civic norms (RQ3). Using the European Values Survey, we replicate the negative association between inequality and contributions to a public good by examining national volunteering rates (RQ4).",Civic Norms | Cooperation | Gini | Inequality | Public Goods Game | Trust,0.0,1.0,repositoryam,Green,,undefined,,Social and Cultural dynamics,
2-s2.0-85130490162,10.1038/s43586-021-00055-w,,,Network analysis of multivariate data in psychological science,re,Review,Borsboom D.,60030961;60029929;60026562;60019816;60015543;60014439;60012306;60006303;60002483,"Santa Fe Institute;Massachusetts General Hospital;Max Planck Institute for Human Development;Universiteit Leiden;University of Pittsburgh;University of California, Davis;Università degli Studi di Milano-Bicocca;Harvard Faculty of Arts and Sciences;Universiteit van Amsterdam",Santa Fe;Boston;Berlin;Leiden;Pittsburgh;Davis;Milan;Cambridge;Amsterdam,United States;United States;Germany;Netherlands;United States;United States;Italy;United States;Netherlands,15,"Borsboom, Denny;Deserno, Marie K.;Rhemtulla, Mijke;Epskamp, Sacha;Fried, Eiko I.;McNally, Richard J.;Robinaugh, Donald J.;Perugini, Marco;Dalege, Jonas;Costantini, Giulio;Isvoranu, Adela Maria;Wysocki, Anna C.;van Borkulo, Claudia D.;van Bork, Riet;Waldorp, Lourens J.",6602919311;56811040000;7801554481;57197776353;55939435800;7102581294;24345306700;36970900500;55927892600;57197776104;57190335922;57208186258;56309945700;56610258500;6507097986,60002483;60026562;60014439;60002483;60019816;60006303;60029929;60012306;60030961;60012306;60002483;60014439;60002483;60015543;60002483,2021-12-01,December 2021,Nature Reviews Methods Primers,,21101089342,26628449,Journal,1,1,58,,"In recent years, network analysis has been applied to identify and analyse patterns of statistical association in multivariate psychological data. In these approaches, network nodes represent variables in a data set, and edges represent pairwise conditional associations between variables in the data, while conditioning on the remaining variables. This Primer provides an anatomy of these techniques, describes the current state of the art and discusses open problems. We identify relevant data structures in which network analysis may be applied: cross-sectional data, repeated measures and intensive longitudinal data. We then discuss the estimation of network structures in each of these cases, as well as assessment techniques to evaluate network robustness and replicability. Successful applications of the technique in different research areas are highlighted. Finally, we discuss limitations and challenges for future research.",,338.0,1.0,repositoryvor,Green,NIMH,889682,National Institute of Mental Health,Social and Cultural dynamics,
2-s2.0-85183662937,10.1038/s41598-024-52837-3,,38291091,Network structure shapes the impact of diversity in collective learning,ar,Article,Baumann F.,60026562,Max Planck Institute for Human Development,Berlin,Germany,3,"Baumann, Fabian;Czaplicka, Agnieszka;Rahwan, Iyad",58146799800;35932076900;23009881000,60026562;60026562;60026562,2024-12-01,December 2024,Scientific Reports,,21100200805,20452322,Journal,14,1,2491,,"It is widely believed that diversity arising from different skills enhances the performance of teams, and in particular, their ability to learn and innovate. However, diversity has also been associated with negative effects on the communication and coordination within collectives. Yet, despite the importance of diversity as a concept, we still lack a mechanistic understanding of how its impact is shaped by the underlying social network. To fill this gap, we model skill diversity within a simple model of collective learning and show that its effect on collective performance differs depending on the complexity of the task and the network density. In particular, we find that diversity consistently impairs performance in simple tasks. In contrast, in complex tasks, link density modifies the effect of diversity: while homogeneous populations outperform diverse ones in sparse networks, the opposite is true in dense networks, where diversity boosts collective performance. Our findings also provide insight on how to forge teams in an increasingly interconnected world: the more we are connected, the more we can benefit from diversity to solve complex problems.",,0.0,1.0,publisherfullgold,Gold,,undefined,,Social and Cultural dynamics,
2-s2.0-84894829226,10.3938/jkps.64.341,,,Network structures between strategies in iterated prisoners' dilemma games,ar,Article,Kim Y.J.,60211585,Hanyang University ERICA Campus,Ansan,South Korea,3,"Kim, Young Jin;Roh, Myungkyoon;Son, Seung Woo",57196171623;56051224900;57188972176,60211585;60211585;60211585,2014-02-01,February 2014,Journal of the Korean Physical Society,03744884,28637,19768524,Journal,64,3,,341-345,"We use replicator dynamics to study an iterated prisoners' dilemma game with memory. In this study, we investigate the characteristics of all 32 possible strategies with a single-step memory by observing the results when each strategy encounters another one. Based on these results, we define similarity measures between the 32 strategies and perform a network analysis of the relationship between the strategies by constructing a strategies network. Interestingly, we find that a win-lose circulation, like rock-paper-scissors, exists between strategies and that the circulation results from one unusual strategy. © 2014 The Korean Physical Society.",Complex networks | Prisoner's dilemma game | Strategies,4.0,0.0,repositoryam,Green,MSIP,2012R1A1A1012150,"Ministry of Science, ICT and Future Planning",Social and Cultural dynamics,
2-s2.0-85052725245,10.1001/jamaoncol.2018.3395,,30098166,Optimizing Cancer Treatment Using Game Theory: A Review,ar,Article,Staňková K.,60117937;60018869;60004803;121314853,Delft Institute of Applied Mathematics;Universiteit Maastricht;Moffitt Cancer Center;M2Gen Health Informatics Solutions,Delft;Maastricht;Tampa;Tampa,Netherlands;Netherlands;United States;United States,4,"Staňková, Kateřina;Brown, Joel S.;Dalton, William S.;Gatenby, Robert A.",35218189500;7409448841;35379799400;7004904379,60018869-60117937;60004803;60004803-121314853;60004803,2019-01-01,January 2019,JAMA Oncology,23742437,21100420583,23742445,Journal,5,1,,96-103,"Importance: While systemic therapy for disseminated cancer is often initially successful, malignant cells, using diverse adaptive strategies encoded in the human genome, almost invariably evolve resistance, leading to treatment failure. Thus, the Darwinian dynamics of resistance are formidable barriers to all forms of systemic cancer treatment but rarely integrated into clinical trial design or included within precision oncology initiatives. Observations: We investigate cancer treatment as a game theoretic contest between the physician's therapy and the cancer cells' resistance strategies. This game has 2 critical asymmetries: (1) Only the physician can play rationally. Cancer cells, like all evolving organisms, can only adapt to current conditions; they can neither anticipate nor evolve adaptations for treatments that the physician has not yet applied. (2) It has a distinctive leader-follower (or ""Stackelberg"") dynamics; the ""leader"" oncologist plays first and the ""follower"" cancer cells then respond and adapt to therapy. Current treatment protocols for metastatic cancer typically exploit neither asymmetry. By repeatedly administering the same drug(s) until disease progression, the physician ""plays"" a fixed strategy even as the opposing cancer cells continuously evolve successful adaptive responses. Furthermore, by changing treatment only when the tumor progresses, the physician cedes leadership to the cancer cells and treatment failure becomes nearly inevitable. Without fundamental changes in strategy, standard-of-care cancer therapy typically results in ""Nash solutions"" in which no unilateral change in treatment can favorably alter the outcome. Conclusions and Relevance: Physicians can exploit the advantages inherent in the asymmetries of the cancer treatment game, and likely improve outcomes, by adopting more dynamic treatment protocols that integrate eco-evolutionary dynamics and modulate therapy accordingly. Implementing this approach will require new metrics of tumor response that incorporate both ecological (ie, size) and evolutionary (ie, molecular mechanisms of resistance and relative size of resistant population) changes.",,107.0,0.0,repositoryam,Green,NIH,R01CA170595,National Institutes of Health,Social and Cultural dynamics,
2-s2.0-84962624841,10.1073/pnas.1518798113,,26929364,Partial connectivity increases cultural accumulation within groups,ar,Article,Derex M.,60086304;60003892,Institute of Human Origins;Arizona State University,Tempe;Tempe,United States;United States,2,"Derex, Maxime;Boyd, Robert",37079009300;7401728379,60086304;60003892,2016-03-15,15 March 2016,Proceedings of the National Academy of Sciences of the United States of America,00278424,21121,10916490,Journal,113,11,,2982-2987,"Complex technologies used in most human societies are beyond the inventive capacities of individuals. Instead, they result from a cumulative process in which innovations are gradually added to existing cultural traits across many generations. Recent work suggests that a population's ability to develop complex technologies is positively affected by its size and connectedness. Here, we present a simple computer-based experiment that compares the accumulation of innovations by fully and partially connected groups of the same size in a complex fitness landscape. We find that the propensity to learn from successful individuals drastically reduces cultural diversity within fully connected groups. In comparison, partially connected groups produce more diverse solutions, and this diversity allows them to develop complex solutions that are never produced in fully connected groups. These results suggest that explanations of ancestral patterns of cultural complexity may need to consider levels of population fragmentation and interaction patterns between partially isolated groups.",Cultural evolution | Innovation | Population size | Social network | Technological trajectory,152.0,1.0,repositoryvor,Green,,undefined,,Social and Cultural dynamics,
2-s2.0-34547477013,10.1073/pnas.0701159104,,17576933,Predicting fate from early connectivity in a social network,ar,Article,McDonald D.,60008827,University of Wyoming,Laramie,United States,1,"McDonald, David B.",57214521072,60008827,2007-06-26,26 June 2007,Proceedings of the National Academy of Sciences of the United States of America,00278424,21121,,Journal,104,26,,10910-10914,"In the long-tailed manakin (Chiroxiphia linearis), a long-lived tropical bird, early connectivity within a social network predicts male success an average of 4.8 years later. Long-tailed manakins have an unusual lek mating system in which pairs of unrelated males, at the top of complex overlapping teams of as many as 15 males, cooperate for obligate dual-male song and dance courtship displays. For as long as 8 years before forming stable ""alpha-beta"" partnerships, males interact with many other males in complex, temporally dynamic social networks. ""Information centrality"" is a network connectivity metric that accounts for indirect as well as shortest (geodesic) paths among interactors. The odds that males would rise socially rose by a factor of five for each one-unit increase in their early information centrality. Connectivity of males destined to rise did not change over time but increased in males that failed to rise socially. The results suggest that network connectivity is important for young males (ages 1-6) but less so for older males of high status (ages 10-15) and that it is difficult to explain present success without reference to social history. © 2007 by The National Academy of Sciences of the USA.",Delayed benefits | Lek behavior | Mating success | Network models | Social status,214.0,1.0,repositoryvor,Green,,undefined,,Social and Cultural dynamics,
2-s2.0-84861170800,10.1145/2133806.2133826,,,Probabilistic topic models,cp,Conference Paper,Blei D.M.,60141284,School of Engineering and Applied Science,Princeton,United States,1,"Blei, David M.",55914504500,60141284,2012-04-01,April 2012,Communications of the ACM,00010782,13675,15577317,Journal,55,4,,77-84,"Topic models are algorithms for discovering the main themes that pervade a large and otherwise unstructured collection of documents. Topic models can organize the collection according to the discovered themes. Topic modeling algorithms can be applied to massive collections of documents. It can be adapted to many kinds of data. Among other applications, they have been used to find patterns in genetic data, images, and social networks. Topic modeling algorithms do not require any prior annotations or labeling of the documents, the topics emerge from the analysis of the original texts. Latent Dirichlet allocation (LDA) is a topic model of document collections. Topic modeling algorithms generally fall into two categories, sampling-based algorithms and variational algorithms. Sampling-based algorithms attempt to collect samples from the posterior to approximate it with an empirical distribution. Variational methods are a deterministic alternative to sampling-based algorithms.",,3616.0,0.0,,,,undefined,,Social and Cultural dynamics,
2-s2.0-84978152242,10.1140/epjds/s13688-016-0085-1,,,SentiBench - a benchmark comparison of state-of-the-practice sentiment analysis methods,ar,Article,Ribeiro F.N.,60030074;60022764,Universidade Federal de Minas Gerais;Universidade Federal de Ouro Preto,Belo Horizonte;Ouro Preto,Brazil;Brazil,5,"Ribeiro, Filipe N.;Araújo, Matheus;Gonçalves, Pollyanna;André Gonçalves, Marcos;Benevenuto, Fabrício",57190173111;55790757200;55922204200;7202320526;8559211800,60030074-60022764;60030074;60030074;60030074;60030074,2016-12-01,1 December 2016,EPJ Data Science,,21100397403,21931127,Journal,5,1,23,,"In the last few years thousands of scientific papers have investigated sentiment analysis, several startups that measure opinions on real data have emerged and a number of innovative products related to this theme have been developed. There are multiple methods for measuring sentiments, including lexical-based and supervised machine learning methods. Despite the vast interest on the theme and wide popularity of some methods, it is unclear which one is better for identifying the polarity (i.e., positive or negative) of a message. Accordingly, there is a strong need to conduct a thorough apple-to-apple comparison of sentiment analysis methods, as they are used in practice, across multiple datasets originated from different data sources. Such a comparison is key for understanding the potential limitations, advantages, and disadvantages of popular methods. This article aims at filling this gap by presenting a benchmark comparison of twenty-four popular sentiment analysis methods (which we call the state-of-the-practice methods). Our evaluation is based on a benchmark of eighteen labeled datasets, covering messages posted on social networks, movie and product reviews, as well as opinions and comments in news articles. Our results highlight the extent to which the prediction performance of these methods varies considerably across datasets. Aiming at boosting the development of this research area, we open the methods’ codes and datasets used in this article, deploying them in a benchmark system, which provides an open API for accessing and comparing sentence-level sentiment analysis methods.",benchmark | methods evaluation | sentiment analysis,308.0,1.0,repositoryam,Green,CAPES,undefined,Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,Social and Cultural dynamics,
2-s2.0-74549134496,10.1111/j.1467-9280.2009.02469.x,,19891752,Social learning mechanisms and cumulative cultural evolution: Is imitation necessary?,ar,Article,Caldwell C.,60025200,University of Stirling,Stirling,United Kingdom,2,"Caldwell, Christine A.;Millen, Ailsa E.",8333397200;23569647400,60025200;60025200,2009-12-01,2009,Psychological Science,09567976,13468,14679280,Journal,20,12,,1478-1483,"Cumulative cultural evolution has been suggested to account for key cognitive and behavioral attributes that distinguish modern humans from their anatomically similar ancestors, but researchers have yet to establish which cognitive mechanisms are responsible for this kind of learning and whether they are unique to humans. Here, we show that human participants' cumulative learning is not always reliant on sources of social information commonly assumed to be essential. Seven hundred participants were organized into 70 microsocieties and completed a task involving building a paper airplane. We manipulated the availability of opportunities for imitation (reproducing actions), emulation (reproducing end results), and teaching. Each condition was independently sufficient for participants to show cumulative learning. Because emulative learning can elicit cumulative culture on this task, we conclude that accounts of the unusual complexity of human culture in terms of species-unique learning mechanisms do not currently provide complete explanations and that other factors may be involved. © 2009 Association for Psychological Science.",,147.0,0.0,,,ESRC,RES-061-23-0072,Economic and Social Research Council,Social and Cultural dynamics,
2-s2.0-84990245311,10.1038/ncomms13109,,27713417,Social learning strategies modify the effect of network structure on group performance,ar,Article,Barkoczi D.,60030961;60026562,Santa Fe Institute;Max Planck Institute for Human Development,Santa Fe;Berlin,United States;Germany,2,"Barkoczi, Daniel;Galesic, Mirta",57191445861;35606385600,60026562;60026562-60030961,2016-10-07,7 October 2016,Nature Communications,,19700182758,20411723,Journal,7,,13109,,"The structure of communication networks is an important determinant of the capacity of teams, organizations and societies to solve policy, business and science problems. Yet, previous studies reached contradictory results about the relationship between network structure and performance, finding support for the superiority of both well-connected efficient and poorly connected inefficient network structures. Here we argue that understanding how communication networks affect group performance requires taking into consideration the social learning strategies of individual team members. We show that efficient networks outperform inefficient networks when individuals rely on conformity by copying the most frequent solution among their contacts. However, inefficient networks are superior when individuals follow the best member by copying the group member with the highest payoff. In addition, groups relying on conformity based on a small sample of others excel at complex tasks, while groups following the best member achieve greatest performance for simple tasks. Our findings reconcile contradictory results in the literature and have broad implications for the study of social learning across disciplines.",,76.0,1.0,repositoryam,Green,,undefined,,Social and Cultural dynamics,
2-s2.0-85046872302,10.1016/j.tics.2018.04.003,S1364661318300949,29759889,Social Learning Strategies: Bridge-Building between Fields,re,Review,Kendal R.L.,60026479;60022175;60022132;60000144,University of Exeter;Durham University;University of St Andrews;Bowdoin College,Exeter;Durham;St Andrews;Brunswick,United Kingdom;United Kingdom;United Kingdom;United States,6,"Kendal, Rachel L.;Boogert, Neeltje J.;Rendell, Luke;Laland, Kevin N.;Webster, Mike;Jones, Patricia L.",8946887500;14034994700;6701331373;7003969474;7202298599;55474803600,60022175;60026479;60022132;60022132;60022132;60000144,2018-07-01,July 2018,Trends in Cognitive Sciences,13646613,15359,1879307X,Journal,22,7,,651-665,"While social learning is widespread, indiscriminate copying of others is rarely beneficial. Theory suggests that individuals should be selective in what, when, and whom they copy, by following 'social learning strategies’ (SLSs). The SLS concept has stimulated extensive experimental work, integrated theory, and empirical findings, and created impetus to the social learning and cultural evolution fields. However, the SLS concept needs updating to accommodate recent findings that individuals switch between strategies flexibly, that multiple strategies are deployed simultaneously, and that there is no one-to-one correspondence between psychological heuristics deployed and resulting population-level patterns. The field would also benefit from the simultaneous study of mechanism and function. SLSs provide a useful vehicle for bridge-building between cognitive psychology, neuroscience, and evolutionary biology.",asocial information | associative learning theory | behavioural gambit | cumulative culture | metacognition | social information,306.0,0.0,repositoryam,Green,JTF,40128,John Templeton Foundation,Social and Cultural dynamics,
2-s2.0-85102913332,10.1098/rspb.2020.3107,,33715438,Social network architecture and the tempo of cumulative cultural evolution,ar,Article,Cantor M.,60120615;60025525;60017609;60012614;60005807,Max Planck Institute of Animal Behavior;Universität Konstanz;Universidade Federal de Santa Catarina;Universität Zürich;Max-Planck-Institut für Evolutionäre Anthropologie,Radolfzell;Konstanz;Florianopolis;Zurich;Leipzig,Germany;Germany;Brazil;Switzerland;Germany,7,"Cantor, Mauricio;Chimento, Michael;Smeele, Simeon Q.;He, Peng;Papageorgiou, Danai;Aplin, Lucy M.;Farine, Damien R.",35408654300;57221708317;57209568280;57205645391;57201364096;42961055800;55349664100,60120615-60017609;60120615-60025525;60120615-60005807;60025525-60120615-60012614;60025525-60120615-60012614;60120615-60025525;60025525-60120615-60012614,2021-03-10,10 March 2021,Proceedings of the Royal Society B: Biological Sciences,09628452,130030,14712954,Journal,288,1946,3107,,"The ability to build upon previous knowledge - cumulative cultural evolution - is a hallmark of human societies. While cumulative cultural evolution depends on the interaction between social systems, cognition and the environment, there is increasing evidence that cumulative cultural evolution is facilitated by larger and more structured societies. However, such effects may be interlinked with patterns of social wiring, thus the relative importance of social network architecture as an additional factor shaping cumulative cultural evolution remains unclear. By simulating innovation and diffusion of cultural traits in populations with stereotyped social structures, we disentangle the relative contributions of network architecture from those of population size and connectivity. We demonstrate that while more structured networks, such as those found in multilevel societies, can promote the recombination of cultural traits into high-value products, they also hinder spread and make products more likely to go extinct. We find that transmission mechanisms are therefore critical in determining the outcomes of cumulative cultural evolution. Our results highlight the complex interaction between population size, structure and transmission mechanisms, with important implications for future research.",cultural complexity | cultural evolution | multilevel societies | small-world networks | social structure,30.0,1.0,repositoryam,Green,H2020,850859,Horizon 2020 Framework Programme,Social and Cultural dynamics,
2-s2.0-84958161838,10.1016/j.cogsys.2015.12.002,S1389041715000327,,Stigmergy as a universal coordination mechanism I: Definition and components,ar,Article,Heylighen F.,60026810,Vrije Universiteit Brussel,Brussels,Belgium,1,"Heylighen, Francis",6602352020,60026810,2016-06-01,1 June 2016,Cognitive Systems Research,,12886,13890417,Journal,38,,,4-13,"The concept of stigmergy has been used to analyze self-organizing activities in an ever-widening range of domains, including social insects, robotics, web communities and human society. Yet, it is still poorly understood and as such its full power remains underappreciated. The present paper clarifies the issue by defining stigmergy as a mechanism of indirect coordination in which the trace left by an action in a medium stimulates subsequent actions. It then analyses the fundamental concepts used in the definition: action, agent, medium, trace and coordination. It clarifies how stigmergy enables complex, coordinated activity without any need for planning, control, communication, simultaneous presence, or even mutual awareness. The resulting self-organization is driven by a combination of positive and negative feedbacks, amplifying beneficial developments while suppressing errors. Thus, stigmergy is applicable to a very broad variety of cases, from chemical reactions to bodily coordination and Internet-supported collaboration in Wikipedia.",Actions | Agents | Coordination | Feedback | Self-organization | Stigmergy,139.0,0.0,,,,undefined,,Social and Cultural dynamics,
2-s2.0-52949141854,10.1098/rstb.2008.0133,D581V3M56K1P1L14,18799419,Studying cumulative cultural evolution in the laboratory,re,Review,Caldwell C.A.,60025200,University of Stirling,Stirling,United Kingdom,2,"Caldwell, Christine A.;Millen, Ailsa E.",8333397200;23569647400,60025200;60025200,2008-11-12,12 November 2008,Philosophical Transactions of the Royal Society B: Biological Sciences,09628436,13602,,Journal,363,1509,,3529-3539,"Cumulative cultural evolution is the term given to a particular kind of social learning, which allows for the accumulation of modifications over time, involving a ratchet-like effect where successful modifications are maintained until they can be improved upon. There has been great interest in the topic of cumulative cultural evolution from researchers from a wide variety of disciplines, but until recently there were no experimental studies of this phenomenon. Here, we describe our motivations for developing experimental methods for studying cumulative cultural evolution and review the results we have obtained using these techniques. The results that we describe have provided insights into understanding the outcomes of cultural processes at the population level. Our experiments show that cumulative cultural evolution can result in adaptive complexity in behaviour and can also produce convergence in behaviour. These findings lend support to ideas that some behaviours commonly attributed to natural selection and innate tendencies could in fact be shaped by cultural processes. © 2008 The Royal Society.",Culture | Cumulative cultural evolution | Ratchet effect | Social learning,80.0,0.0,repositoryam,Green,ESRC,ES/E000630/1,Economic and Social Research Council,Social and Cultural dynamics,
